Instance, y_0, y_1, y_2
1 0.386224 0.44831 0.309015

2 0.958695 0.653292 0.418967
3 0.287232 0.589339 0.274372
4 0.362911 0.56527 0.747392
5 0.705521 0.671547 0.734139
6 0.873862 0.41143 0.859045
7 0.836668 0.950006 0.455265
8 0.195743 0.564046 0.578887
9 0.983833 0.037373 0.0730663
10 0.507797 0.808871 0.461765
11 0.583099 0.0947694 0.903692
12 0.394328 0.373344 0.359401
13 0.648923 0.66893 0.33882
14 0.348176 0.350222 0.541626
15 0.58307 0.230565 0.305191
16 0.560684 0.255916 0.144237
17 0.447976 0.527955 0.467665
18 0.507609 0.71267 0.41617
19 0.665262 0.771305 0.847368
20 0.114131 0.333213 0.395551
21 0.346539 0.817196 0.166467
22 0.439344 0.311817 0.696011
23 0.906522 0.79331 0.637587
24 0.882023 0.745744 0.564596
25 0.300354 0.488883 0.818588
26 0.124504 0.742635 0.681938
27 0.477682 0.165889 0.52949
28 0.923035 0.526841 0.911137
29 0.260864 0.0532923 0.711926
30 0.614631 0.737575 0.308421
31 0.0788493 0.541872 0.930721
32 0.799703 0.468832 0.182321
33 0.473555 0.205664 0.666868
34 0.324215 0.460013 0.0938826
35 0.59445 0.0451617 0.0941074
36 0.580344 0.152744 0.625809
37 0.262545 0.785899 0.104116
38 0.150206 0.180997 0.128912
39 0.0155758 0.613183 0.338142
40 0.86614 0.216073 0.958948
41 0.320811 0.598746 0.683946
42 0.629851 0.134222 0.52212
43 0.450592 0.83137 0.759292
44 0.680867 0.255403 0.0751651
45 0.408151 0.697383 0.372807
46 0.698309 0.952722 0.37293
47 0.082661 0.966365 0.0360271
48 0.226171 0.546915 0.43212
49 0.184263 0.952433 0.151109
50 0.933452 0.745347 0.664808
51 0.766675 0.137504 0.518171
52 0.202532 0.606061 0.0763157
53 0.386335 0.340263 0.708231
54 0.900904 0.23362 0.688396
55 0.401858 0.0475436 0.0662446
56 0.407835 0.612902 0.077721
57 0.095321 0.319398 0.725586
58 0.585266 0.656996 0.308433
59 0.914936 0.40413 0.82976
60 0.418052 0.865309 0.636742
61 0.499577 0.580307 0.69011
62 0.487687 0.905314 0.113151
63 0.144618 0.313574 0.769531
64 0.524526 0.329444 0.431521
65 0.658973 0.858602 0.417257
66 0.588157 0.351102 0.95099
67 0.696745 0.427342 0.826585
68 0.0281056 0.864017 0.445152
69 0.301106 0.122121 0.203124
70 0.0395249 0.278861 0.0793268
71 0.239146 0.795697 0.989172
72 0.128137 0.72826 0.413612
73 0.77345 0.367933 0.530327
74 0.269436 0.950196 0.79077
75 0.544109 0.732383 0.124661
76 0.650872 0.598844 0.228328
77 0.430355 0.881163 0.917904
78 0.860824 0.156074 0.646615
79 0.724891 0.848262 0.951136
80 0.236764 0.556852 0.877783
81 0.202563 0.544048 0.418538
82 0.264723 0.502398 0.74294
83 0.288381 0.498861 0.44474
84 0.860125 0.286558 0.14199
85 0.252694 0.838642 0.934123
86 0.840543 0.846178 0.132781
87 0.477231 0.794102 0.934097
88 0.438265 0.216585 0.365128
89 0.172712 0.260315 0.497624
90 0.934102 0.126123 0.795787
91 0.299544 0.354326 0.8292
92 0.7241 0.178667 0.197461
93 0.269714 0.242995 0.354379
94 0.0598496 0.293657 0.752608
95 0.74067 0.743677 0.887778
96 0.617527 0.610334 0.619012
97 0.240463 0.597957 0.683258
98 0.367503 0.743407 0.888671
99 0.399697 0.424247 0.801374
100 0.257744 0.328258 0.62621
