Instance, y_0
1 0.544906
2 0.212128
3 0.633423
4 0.344404
5 0.730998
6 0.891875
7 0.631636
8 0.376201
9 0.689852
10 0.85763
11 0.0703042
12 0.433664
13 0.332482
14 0.205382
15 0.509873
16 0.742904
17 0.82502
18 0.292199
19 0.310232
20 0.469433
21 0.557831
22 0.858603
23 0.59222
24 0.460553
25 0.747561
26 0.419174
27 0.661821
28 0.665497
29 0.412391
30 0.169909
31 0.405974
32 0.497162
33 0.740805
34 0.779855
35 0.43006
36 0.0888964
37 0.463908
38 0.328428
39 0.13895
40 0.861565
41 0.216174
42 0.481838
43 0.877077
44 0.109623
45 0.543671
46 0.389109
47 0.293439
48 0.553343
49 0.350185
50 0.583038
51 0.677684
52 0.804536
53 0.699137
54 0.569998
55 0.509615
56 0.512804
57 0.39417
58 0.516147
59 0.143155
60 0.593427
61 0.384616
62 0.293327
63 0.555744
64 0.70506
65 0.297979
66 0.588017
67 0.19194
68 0.49872
69 0.289924
70 0.178671
71 0.188382
72 0.175129
73 0.22945
74 0.536073
75 0.727265
76 0.119238
77 0.244594
78 0.639639
79 0.17555
80 0.584255
81 0.147269
82 0.688808
83 0.464781
84 0.342473
85 0.112009
86 0.167072
87 0.561863
88 0.405041
89 0.706621
90 0.58186
91 0.749973
92 0.4917
93 0.624904
94 0.525913
95 0.62289
96 0.16285
97 0.947524
98 0.340244
99 0.407217
100 0.552015
